보습,세정,영양 공급,유분 조절,탄력,보호,재생,진정,청결,피부 개선,항산화,항염,균형 조절,방부제,색소 및 착색제
달맞이꽃씨추출물,,파라크레스꽃추출물,,,,,왕귤추출물,,,,,,,
스위트아몬드추출물,,약작약꽃추출물,,,,,라벤더꽃,,,,,,,
파파야열매수,,서양송악추출물,,,,,하와이무궁화꽃추출물,,,,,,,
콜라겐아미노산,,구주소나무싹추출물,,,,,원지뿌리추출물,,,,,,,
에이엠피-아이소스테아로일하이드롤라이즈드콜라겐,,패션프룻씨오일,,,,,,,,,,,,
에이엠피디-아이소스테아로일하이드롤라이즈드콜라겐,,연꽃씨추출물,,,,,,,,,,,,
밀배아오일,,연꽃잎추출물,,,,,,,,,,,,
옥수수배아유,,목서꽃추출물,,,,,,,,,,,,
하이드롤라이즈드보검선인장꽃추출물,,팔미토일프롤린,,,,,,,,,,,,
옥수수오일,,쇠뜨기잎추출물,,,,,,,,,,,,
홍차수,,쐐기풀잎추출물,,,,,,,,,,,,
카카두플럼추출물,,인디안구스베리열매추출물,,,,,,,,,,,,
하이드롤라이즈드실크,,두송열매추출물,,,,,,,,,,,,
알로에베라잎폴리사카라이드,,흰무늬엉겅퀴열매추출물,,,,,,,,,,,,
콜로이달오트밀,,노티드랙추출물,,,,,,,,,,,,
하이드롤라이즈드어란추출물,,콘민트잎추출물,,,,,,,,,,,,
하이드롤라이즈드밀단백질,,마트리카리아꽃수,,,,,,,,,,,,
글리세레스-5락테이트,,소나무잎추출물,,,,,,,,,,,,
수크로오스테트라아이소스테아레이트,,레몬추출물,,,,,,,,,,,,
소듐폴리글루타메이트크로스폴리머,,오렌지추출물,,,,,,,,,,,,
알지닉애씨드,,설탕단풍추출물,,,,,,,,,,,,
하이드로제네이티드팜커넬글리세라이즈,,에난티아 클로란타껍질추출물,,,,,,,,,,,,
하이드로제네이티드팜글리세라이드,,코코넛야자열매추출물,,,,,,,,,,,,
아프리카망고커넬버터,,피나무꽃추출물,,,,,,,,,,,,
하이드로제네이티드호호바오일,,라벤더꽃/잎/줄기추출물,,,,,,,,,,,,
라즈베리씨오일,,삼나무잎추출물,,,,,,,,,,,,
카프릴릭/카프릭/미리스틱/스테아릭트라이글리세라이드,,체이스트트리추출물,,,,,,,,,,,,
다이글리세릴세바케이트/아이소팔미테이트,,루이보스잎추출물,,,,,,,,,,,,
하이드로제네이티드코코넛오일,,회향잎추출물,,,,,,,,,,,,
피토스테릴마카다미에이트,,포도씨추출물,,,,,,,,,,,,
피토스테릴이소스테아레이트,,호호바잎추출물,,,,,,,,,,,,
글리세릴트라이아세틸리시놀레이트,,대추야자씨,,,,,,,,,,,,
세틸리시놀레이트,,침향나무줄기추출물,,,,,,,,,,,,
하이드로제네이티드유채씨오일,,치자나무꽃추출물,,,,,,,,,,,,
수크로오스아세테이트아이소부티레이트,,메도우스위트추출물,,,,,,,,,,,,
양벚나무씨오일,,석류과피추출물,,,,,,,,,,,,
망고씨오일,,서양자두씨추출물,,,,,,,,,,,,
호호바씨추출물,,셀러리씨추출물,,,,,,,,,,,,
사라수씨버터,,콩추출물,,,,,,,,,,,,
야자씨버터,,바실러스/폴릭애씨드발효여과추출물,,,,,,,,,,,,
식물성오일,,홍차추출물,,,,,,,,,,,,
시어버터불검화물,,아스코빌글루코사이드,,,,,,,,,,,,
하이드로제네이티드캐스터오일아이소스테아레이트,,달팽이점액여과물,,,,,,,,,,,,
하이드로제네이티드올리브오일,,에스에이치-올리고펩타이드-2,,,,,,,,,,,,
올리브오일불검화물,,에스에이치-폴리펩타이드-1,,,,,,,,,,,,
트라이올레인,,에스에이치-폴리펩타이드-11,,,,,,,,,,,,
라즈베리씨오일/토코페릴석시네이트아미노프로판다이올에스터,,에스에이치-폴리펩타이드-9,,,,,,,,,,,,
하이드로제네이티드돌콩오일,,에스에이치-데카펩타이드-7,,,,,,,,,,,,
하이드로제네이티드팜커넬오일,,에스에이치-옥타펩타이드-4,,,,,,,,,,,,
하이드로제네이티드팜오일,,에스에이치-올리고펩타이드-9,,,,,,,,,,,,
수크로오스폴리스테아레이트,,에스에이치-펜타펩타이드-19,,,,,,,,,,,,
밀펩타이드,,프로콜라겐,,,,,,,,,,,,
귀리펩타이드,,소듐소이하이드롤라이즈드콜라겐,,,,,,,,,,,,
콩폴리펩타이드,,갈락토미세스발효여과물,,,,,,,,,,,,
하이드롤라이즈드옥수수단백질,,효모추출물,,,,,,,,,,,,
하이드롤라이즈드케라틴,,가시대나무수액,,,,,,,,,,,,
하이드롤라이즈드실크에틸에스터,,락토바실러스/히비스커스꽃발효여과물,,,,,,,,,,,,
쌀겨오일추출물,,하이드롤라이즈드밀단백질/피브이피크로스폴리머,,,,,,,,,,,,
세리신,,팔미토일올리고펩타이드,,,,,,,,,,,,
실크추출물,,석류씨오일,,,,,,,,,,,,
알로에베라잎가루,,하이드롤라이즈드실크,,,,,,,,,,,,
파파인,,노니열매추출물,,,,,,,,,,,,
유채씨오일,,복분자딸기열매추출물,,,,,,,,,,,,
제주조릿대추출물,,장엽대황뿌리추출물,,,,,,,,,,,,
소듐코코일애플아미노산,,큰노랑용담뿌리추출물,,,,,,,,,,,,
소듐코코암포아세테이트,,쓴쑥추출물,,,,,,,,,,,,
이눌린,,아르니카 몬타나꽃추출물,,,,,,,,,,,,
쌀겨,,비타민나무추출물,,,,,,,,,,,,
효모/쌀겨발효물,,서양자두씨오일,,,,,,,,,,,,
쌀발효여과물,,스페인자스민꽃추출물,,,,,,,,,,,,
유자수,,센티드제라늄추출물,,,,,,,,,,,,
병풀오일,,돌콩추출물,,,,,,,,,,,,
피이지-6카프릴릭/카프릭글리세라이즈,,발레이추출물,,,,,,,,,,,,
폴리글리세릴-3코코에이트,,팔미토일헥사펩타이드-12,,,,,,,,,,,,
폴리글리세릴-6리시놀리에이트,,참나리추출물,,,,,,,,,,,,
폴리글리세릴-6카프릴레이트,,에틸셀룰로오스,,,,,,,,,,,,
폴리글리세릴-10다이올리에이트,,키위추출물,,,,,,,,,,,,
폴리글리세릴-6트라이카프릴레이트,,망고추출물,,,,,,,,,,,,
피이지-8아이소스테아레이트,,구아바열매추출물,,,,,,,,,,,,
피이지-12아이소스테아레이트,,자목련꽃추출물,,,,,,,,,,,,
피이지-10아이소스테아레이트,,로즈힙열매추출물,,,,,,,,,,,,
피씨에이에틸코코일알지네이트,,아세로라추출물,,,,,,,,,,,,
C30-45알킬메티콘,,포트마리골드꽃오일,,,,,,,,,,,,
피이지-15/라우릴다이메티콘크로스폴리머,,스테비아추출물,,,,,,,,,,,,
유자껍질추출물,,블랙체리열매추출물,,,,,,,,,,,,
락토바실러스/소이밀크발효여과물,,패션프룻열매추출물,,,,,,,,,,,,
소듐폴리글루타메이트,,까무까무열매추출물,,,,,,,,,,,,
세테아레스-12,,석류나무꽃추출물,,,,,,,,,,,,
캐롭검,,티아꽃추출물,,,,,,,,,,,,
소듐파이루베이트,,복사나무꽃추출물,,,,,,,,,,,,
구아노신,,사과나무꽃추출물,,,,,,,,,,,,
비터아몬드커넬오일,,더덕뿌리추출물,,,,,,,,,,,,
스핑고모나스발효추출물,,미역추출물,,,,,,,,,,,,
스타아니스열매/씨오일,,라즈베리즙,,,,,,,,,,,,
서양측백나무잎오일,,포도즙,,,,,,,,,,,,
커먼자스민오일,,딸기추출물,,,,,,,,,,,,
탄제린껍질오일,,녹용추출물,,,,,,,,,,,,
히노키티올,,라케모사승마뿌리추출물,,,,,,,,,,,,
흰목이버섯폴리사카라이드,,산방풍뿌리추출물,,,,,,,,,,,,
효모폴리펩타이드,,들깨추출물,,,,,,,,,,,,
폴리글리세릴-10베헤네이트/에이코사디오에이트,,그롬웰뿌리추출물,,,,,,,,,,,,
하이드로제네이티드스타치하이드롤리세이트,,쓴풀추출물,,,,,,,,,,,,
글라이코실트레할로오스,,파스향나무잎추출물,,,,,,,,,,,,
하이드로제네이티드폴리(C6-20올레핀),,미로탐누스 플라벨리폴리아잎/줄기추출물,,,,,,,,,,,,
하이드롤라이즈드알진,,뽕나무뿌리추출물,,,,,,,,,,,,
스위트아몬드씨가루,,블랙커민씨오일,,,,,,,,,,,,
유자껍질오일,,스피드웰꽃/잎/줄기추출물,,,,,,,,,,,,
글루코실헤스페리딘,,구아바잎추출물,,,,,,,,,,,,
바이오플라보노이드,,제주조릿대추출물,,,,,,,,,,,,
하이드롤라이즈드콜라겐추출물,,연옥가루,,,,,,,,,,,,
프로필헵틸카프릴레이트,,에버라스팅꽃수,,,,,,,,,,,,
쌀배아오일,,핑거루트뿌리줄기추출물,,,,,,,,,,,,
올리브추출물,,우롱차추출물,,,,,,,,,,,,
세드랏껍질오일,,큰노랑꽃자리풀씨추출물,,,,,,,,,,,,
하이드롤라이즈드참갈파래추출물,,명자나무씨추출물,,,,,,,,,,,,
하이드롤라이즈드조류추출물,,수국잎추출물,,,,,,,,,,,,
자이언트켈프단백질,,때죽나무가지/열매/잎추출물,,,,,,,,,,,,
검정콩오일,,보검선인장추출물,,,,,,,,,,,,
코튼씨오일,,사철쑥추출물,,,,,,,,,,,,
빌베리씨오일,,맥아추출물,,,,,,,,,,,,
알로에잎추출물,,푸르메리아 루브라꽃추출물,,,,,,,,,,,,
시어버터씨드케이크추출물,,로즈오브예리코추출물,,,,,,,,,,,,
하와이무궁화꽃/잎추출물,,루이보스추출물,,,,,,,,,,,,
바오밥나무씨추출물,,신선초잎/줄기추출물,,,,,,,,,,,,
우레아,,적색504호,,,,,,,,,,,,
에틸헥실올리베이트,,퀼라자껍질추출물,,,,,,,,,,,,
하이드로제네이티드팜글리세라이즈시트레이트,,탄제린추출물,,,,,,,,,,,,
피이지-100하이드로제네이티드캐스터오일,,셀러리추출물,,,,,,,,,,,,
유자씨오일,,밀싹추출물,,,,,,,,,,,,
키위씨오일,,오렌지즙,,,,,,,,,,,,
스피룰리나 막시마추출물,,자몽즙,,,,,,,,,,,,
귀리커넬오일,,서양배꽃추출물,,,,,,,,,,,,
하이드로제네이티드쌀겨오일,,헛개나무열매추출물,,,,,,,,,,,,
스위트아몬드오일폴리글리세릴-6에스터,,중국토복령추출물,,,,,,,,,,,,
올리브오일데실에스터,,질경이택사덩이줄기추출물,,,,,,,,,,,,
마루르라씨오일,,브라질넛씨오일,,,,,,,,,,,,
로즈힙꽃오일,,안디로바씨오일,,,,,,,,,,,,
브로콜리씨오일,,소두구씨오일,,,,,,,,,,,,
토마토씨오일,,비터오렌지잎/잔가지오일,,,,,,,,,,,,
왕귤수,,마조람잎오일,,,,,,,,,,,,
안식향나무수지오일,,효모/아연발효물,,,,,,,,,,,,
만주자작나무잎추출물,,효모/마그네슘발효물,,,,,,,,,,,,
하이드롤라이즈드진주,,우유단백질추출물,,,,,,,,,,,,
하이드롤라이즈드병풀추출물,,락토바실러스/소이밀크발효여과물,,,,,,,,,,,,
스위트아몬드열매추출물,,인삼뿌리프로토플라스트,,,,,,,,,,,,
돌콩배아추출물,,인체제대혈세포배양액,,,,,,,,,,,,
쌀배아추출물,,다발방패버섯추출물,,,,,,,,,,,,
타피오카전분,,병풀뿌리추출물,,,,,,,,,,,,
피피지-120메틸글루코스디올리에이트,,블래더랙추출물,,,,,,,,,,,,
라놀린애씨드,,스피룰리나 플라텐시스추출물,,,,,,,,,,,,
코코넛지방산,,불등가사리추출물,,,,,,,,,,,,
프로필렌글라이콜라우레이트,,캐나다콜로이달클레이,,,,,,,,,,,,
피피지-3카프릴릴에터,,가시오갈피뿌리추출물,,,,,,,,,,,,
스테아록시프로필트라이모늄클로라이드,,스페인감초뿌리가루,,,,,,,,,,,,
판테닐에틸에터,,석창포추출물,,,,,,,,,,,,
하이드로제네이티드레이프씨드알코올,,호두추출물,,,,,,,,,,,,
하이드롤라이즈드참깨단백질피지-프로필메틸실란다이올,,율무껍질추출물,,,,,,,,,,,,
체리모야열매추출물,,율무씨수,,,,,,,,,,,,
글리세릴카프레이트,,비자나무씨오일,,,,,,,,,,,,
하이드롤라이즈드피브로인,,개청각추출물,,,,,,,,,,,,
피브로인,,감태추출물,,,,,,,,,,,,
스위트아몬드단백질,,겔리듐 카르틸라기네움추출물,,,,,,,,,,,,
쌀단백질,,톳추출물,,,,,,,,,,,,
식물성아미노산,,세테스-10,,,,,,,,,,,,
하이드롤라이즈드아마란스단백질,,프로방스장미꽃,,,,,,,,,,,,
하이드롤라이즈드블래더랙단백질,,빌베리열매/잎추출물,,,,,,,,,,,,
밀단백질,,케이프알로에잎추출물,,,,,,,,,,,,
트라이하이드록시팔미타미도하이드록시프로필미리스틸에터,,제비꽃꽃추출물,,,,,,,,,,,,
락토글로불린,,스피어민트추출물,,,,,,,,,,,,
아세틸시스테인,,마뿌리추출물,,,,,,,,,,,,
피토스테릴올리에이트,,타라열매추출물,,,,,,,,,,,,
올레익/리놀레익/리놀레닉폴리글리세라이즈,,금불초꽃/잎/줄기추출물,,,,,,,,,,,,
소듐코코일아미노산,,털부처꽃추출물,,,,,,,,,,,,
포타슘코코일글루타메이트,,냉초추출물,,,,,,,,,,,,
소듐스위트아몬드암포아세테이트,,더위지기추출물,,,,,,,,,,,,
코코다이모늄하이드록시프로필하이드롤라이즈드밀단백질,,분비나무오일,,,,,,,,,,,,
우유추출물,,클로브잎오일,,,,,,,,,,,,
호호바버터,,마트리카리아꽃오일,,,,,,,,,,,,
시어버터오일,,모란추출물,,,,,,,,,,,,
올리브오일피이지-8에스터,,버지니아풍년화껍질/잎/잔가지추출물,,,,,,,,,,,,
올리브오일글리세레스-8에스터,,살비아수,,,,,,,,,,,,
보르네오탈로우씨버터,,쌀배아오일,,,,,,,,,,,,
오트밀,,쐐기풀추출물,,,,,,,,,,,,
알로에베라잎,,브로콜리싹추출물,,,,,,,,,,,,
쿠쿠이나무씨추출물,,살구씨추출물,,,,,,,,,,,,
락토바실러스/알로에베라발효여과물,,양까막까치밥나무잎추출물,,,,,,,,,,,,
흰명아주꽃추출물,,키위씨추출물,,,,,,,,,,,,
효모/감즙발효추출물,,야니아 루벤스추출물,,,,,,,,,,,,
아세틸레이티드라놀린알코올,,플랑크톤추출물,,,,,,,,,,,,
하이드롤라이즈드로도피세아추출물,,피케아 로부스타추출물,,,,,,,,,,,,
팜커넬애씨드,,몽당잎모자반추출물,,,,,,,,,,,,
팥가루,,참갈파래추출물,,,,,,,,,,,,
콩가루,,봉선화꽃/잎/줄기추출물,,,,,,,,,,,,
원지뿌리추출물,,개양귀비꽃잎추출물,,,,,,,,,,,,
라벤더꽃,,채송화추출물,,,,,,,,,,,,
하와이무궁화꽃추출물,,튤립추출물,,,,,,,,,,,,
녹차꽃추출물,,인도칸나뿌리추출물,,,,,,,,,,,,
리치추출물,,연꽃씨가루,,,,,,,,,,,,
두리안추출물,,복숭아씨추출물,,,,,,,,,,,,
만다린껍질오일,,만주자작나무수액,,,,,,,,,,,,
망고스틴추출물,,자주천인국추출물,,,,,,,,,,,,
,,붉은토끼풀추출물,,,,,,,,,,,,
,,예덕나무껍질추출물,,,,,,,,,,,,
,,함박꽃나무추출물,,,,,,,,,,,,
,,노니추출물,,,,,,,,,,,,
,,포도덩굴수액,,,,,,,,,,,,
,,석류나무추출물,,,,,,,,,,,,
,,레스페데자 카피타타잎/줄기추출물,,,,,,,,,,,,
,,망고스틴껍질추출물,,,,,,,,,,,,
,,수염틸란드시아추출물,,,,,,,,,,,,
,,자작나무껍질추출물,,,,,,,,,,,,
,,로켓잎추출물,,,,,,,,,,,,
,,바실러스/소이빈발효추출물,,,,,,,,,,,,
,,사과나무잎추출물,,,,,,,,,,,,
,,카룸 페트로셀리눔추출물,,,,,,,,,,,,
,,푸시디움 코식네움발효여과물,,,,,,,,,,,,
,,암브레트추출물,,,,,,,,,,,,
,,셀필룸잎추출물,,,,,,,,,,,,
,,오르소시폰추출물,,,,,,,,,,,,
,,띠뿌리추출물,,,,,,,,,,,,
,,페닐에틸레조시놀,,,,,,,,,,,,
,,팔미토일글라이신,,,,,,,,,,,,
,,엘라직애씨드,,,,,,,,,,,,
,,에틸페룰레이트,,,,,,,,,,,,
,,하이드롤라이즈드알엔에이,,,,,,,,,,,,
,,바다포도추출물,,,,,,,,,,,,
,,토멘틸뿌리추출물,,,,,,,,,,,,
,,유자씨오일,,,,,,,,,,,,
,,키위씨오일,,,,,,,,,,,,
,,마룰라씨오일,,,,,,,,,,,,
,,스피룰리나 막시마추출물,,,,,,,,,,,,
,,올리브오일데실에스터,,,,,,,,,,,,
,,로즈힙꽃오일,,,,,,,,,,,,
,,브로콜리씨오일,,,,,,,,,,,,
,,크레아틴,,,,,,,,,,,,
,,알루미늄클로로하이드레이트,,,,,,,,,,,,
,,피브이엠/엠에이데카디엔크로스폴리머,,,,,,,,,,,,
,,멜라토닌,,,,,,,,,,,,
,,하이드롤라이즈드인삼사포닌,,,,,,,,,,,,
,,당근잎추출물,,,,,,,,,,,,
,,녹차씨추출물,,,,,,,,,,,,
,,귀리단백질추출물,,,,,,,,,,,,
,,효모/콩단백질발효물,,,,,,,,,,,,
,,하이드롤라이즈드소이밀크프로테인,,,,,,,,,,,,
,,하이드롤라이즈드효모단백질,,,,,,,,,,,,
,,하이드롤라이즈드보리단백질,,,,,,,,,,,,
,,하이드롤라이즈드감자단백질,,,,,,,,,,,,
,,하이드롤라이즈드쌀겨단백질,,,,,,,,,,,,
,,하이드롤라이즈드코튼씨드단백질,,,,,,,,,,,,
,,하이드롤라이즈드스위트아몬드단백질,,,,,,,,,,,,
,,하이드롤라이즈드헤이즐넛단백질,,,,,,,,,,,,
,,완두콩펩타이드,,,,,,,,,,,,
,,족도리풀뿌리추출물,,,,,,,,,,,,
,,측백나무잎추출물,,,,,,,,,,,,
,,인체지방세포배양액추출물,,,,,,,,,,,,
,,대왕송오일,,,,,,,,,,,,
,,시금치가루,,,,,,,,,,,,
,,서양유채추출물,,,,,,,,,,,,
,,실버위드추출물,,,,,,,,,,,,
,,양골담초추출물,,,,,,,,,,,,
,,통위드추출물,,,,,,,,,,,,
,,안젤리카뿌리추출물,,,,,,,,,,,,
,,에델바이스꽃/잎추출물,,,,,,,,,,,,
,,인카르나타시계꽃전초추출물,,,,,,,,,,,,
,,황금전초추출물,,,,,,,,,,,,
,,우뭇가사리추출물,,,,,,,,,,,,
,,로키마운틴라즈베리열매즙,,,,,,,,,,,,
,,크랜베리씨오일,,,,,,,,,,,,
,,시스틴비스-피지-프로필실란트라이올,,,,,,,,,,,,
,,당호박씨오일,,,,,,,,,,,,
,,아사이야자열매추출물,,,,,,,,,,,,
,,이테야자열매오일,,,,,,,,,,,,
,,아비시니안케일씨오일,,,,,,,,,,,,
,,에버라스팅꽃오일,,,,,,,,,,,,
,,프로방스장미꽃오일,,,,,,,,,,,,
,,두송열매오일,,,,,,,,,,,,
,,블루탄지꽃오일,,,,,,,,,,,,
,,가시대나무줄기추출물,,,,,,,,,,,,
,,올레라케아아크멜라추출물,,,,,,,,,,,,
,,콩싹추출물,,,,,,,,,,,,
,,유채싹추출물,,,,,,,,,,,,
,,두송싹추출물,,,,,,,,,,,,
,,왕질경이잎추출물,,,,,,,,,,,,
,,상추추출물,,,,,,,,,,,,
,,커먼자스민꽃/잎추출물,,,,,,,,,,,,
,,아스파라거스줄기추출물,,,,,,,,,,,,
,,하이드롤라이즈드퀴노아,,,,,,,,,,,,
,,유채추출물,,,,,,,,,,,,
,,무씨추출물,,,,,,,,,,,,
,,케일잎추출물,,,,,,,,,,,,
,,호프추출물,,,,,,,,,,,,
,,완두콩추출물,,,,,,,,,,,,
,,호밀추출물,,,,,,,,,,,,
,,백량금추출물,,,,,,,,,,,,
,,삼씨추출물,,,,,,,,,,,,
,,필리핀오렌지껍질추출물,,,,,,,,,,,,
,,배초향추출물,,,,,,,,,,,,
,,가회톱뿌리추출물,,,,,,,,,,,,
,,우엉씨오일,,,,,,,,,,,,
,,왕고들빼기추출물,,,,,,,,,,,,
,,진피나무열매추출물,,,,,,,,,,,,
,,진피나무씨추출물,,,,,,,,,,,,
,,인카르나타시계꽃열매추출물,,,,,,,,,,,,
,,서양측백나무잎추출물,,,,,,,,,,,,
,,안토시아닌,,,,,,,,,,,,
,,알부민,,,,,,,,,,,,
,,삼칠뿌리추출물,,,,,,,,,,,,
,,봉의꼬리추출물,,,,,,,,,,,,
,,실론시나몬나무껍질추출물,,,,,,,,,,,,
,,측백나무씨추출물,,,,,,,,,,,,
,,라즈베리씨추출물,,,,,,,,,,,,
,,에리소빅애씨드,,,,,,,,,,,,
,,소이아미도프로필아민옥사이드,,,,,,,,,,,,
